Class,Method Name,Params,Returns,Restriction,Requires Public Security,Description
IItemStackFilter,setItem,item,,,false,
IItemStackFilter,setItemStack,arg0,,,false,
IModIDFilter,getModID,,String,,false,
IModIDFilter,setModID,arg0,,,false,
ITagFilter,getTagName,,String,,false,
ITagFilter,setTagName,arg0,,,false,
MatrixMultiblockData,getInputItem,,Table,,false,
MatrixMultiblockData,getInstalledCells,,int,,false,
MatrixMultiblockData,getInstalledProviders,,int,,false,
MatrixMultiblockData,getLastInput,,FloatingLong,,false,
MatrixMultiblockData,getLastOutput,,FloatingLong,,false,
MatrixMultiblockData,getOutputItem,,Table,,false,
MatrixMultiblockData,getTransferCap,,FloatingLong,,false,
MinerFilter,clone,,Table,,false,
MinerFilter,getReplaceTarget,,String,,false,
MinerFilter,getRequiresReplacement,,boolean,,false,
MinerFilter,hasBlacklistedElement,,boolean,,false,
MinerFilter,setReplaceTarget,value,,,false,
MinerFilter,setRequiresReplacement,value,,,false,
OredictionificatorFilter,clone,,Table,,false,
OredictionificatorFilter,getFilter,,String,,false,
OredictionificatorFilter,setFilter,tag,,,false,
OredictionificatorItemFilter,getSelectedOutput,,String,,false,
OredictionificatorItemFilter,setSelectedOutput,item,,,false,
QIOFilter,clone,,Table,,false,
SPSMultiblockData,getCoils,,int,,false,
SPSMultiblockData,getInput,,Table,,false,
SPSMultiblockData,getInputCapacity,,long,,false,
SPSMultiblockData,getInputFilledPercentage,,double,,false,
SPSMultiblockData,getInputNeeded,,long,,false,
SPSMultiblockData,getOutput,,Table,,false,
SPSMultiblockData,getOutputCapacity,,long,,false,
SPSMultiblockData,getOutputFilledPercentage,,double,,false,
SPSMultiblockData,getOutputNeeded,,long,,false,
SPSMultiblockData,getProcessRate,,double,,false,
TankMultiblockData,decrementContainerEditMode,,,,false,
TankMultiblockData,getChemicalTankCapacity,,long,,false,
TankMultiblockData,getContainerEditMode,,"BOTH, FILL, EMPTY",,false,
TankMultiblockData,getFilledPercentage,,double,,false,
TankMultiblockData,getInputItem,,Table,,false,
TankMultiblockData,getOutputItem,,Table,,false,
TankMultiblockData,getStored,,Table,,false,
TankMultiblockData,getTankCapacity,,int,,false,
TankMultiblockData,incrementContainerEditMode,,,,false,
TankMultiblockData,setContainerEditMode,mode,,,false,
SorterFilter,clone,,Table,,false,
SorterFilter,getAllowDefault,,boolean,,false,
SorterFilter,getColor,,"BLACK, DARK_BLUE, DARK_GREEN, DARK_AQUA, DARK_RED, PURPLE, ORANGE, GRAY, DARK_GRAY, INDIGO, BRIGHT_GREEN, AQUA, RED, PINK, YELLOW, WHITE, BROWN, BRIGHT_PINK",,false,
SorterFilter,getMax,,int,,false,
SorterFilter,getMin,,int,,false,
SorterFilter,getSizeMode,,boolean,,false,
SorterFilter,setAllowDefault,value,,,false,
SorterFilter,setColor,value,,,false,
SorterFilter,setMinMax,"min, max",,,false,
SorterFilter,setSizeMode,value,,,false,
ComputerEnergyHelper,euToJoules,eu,FloatingLong,,false,
ComputerEnergyHelper,feToJoules,fe,FloatingLong,,false,
ComputerEnergyHelper,joulesToEU,joules,FloatingLong,,false,
ComputerEnergyHelper,joulesToFE,joules,FloatingLong,,false,
ComputerFilterHelper,createMinerItemFilter,item,Table,,false,
ComputerFilterHelper,createMinerModIdFilter,modId,Table,,false,
ComputerFilterHelper,createMinerTagFilter,tag,Table,,false,
ComputerFilterHelper,createOredictionificatorItemFilter,filterTag,Table,,false,
ComputerFilterHelper,createOredictionificatorItemFilter,"filterTag, selectedOutput",Table,,false,
ComputerFilterHelper,createQIOItemFilter,item,Table,,false,
ComputerFilterHelper,createQIOModIdFilter,modId,Table,,false,
ComputerFilterHelper,createQIOTagFilter,tag,Table,,false,
ComputerFilterHelper,createSorterItemFilter,item,Table,,false,
ComputerFilterHelper,createSorterModIdFilter,modId,Table,,false,
ComputerFilterHelper,createSorterTagFilter,tag,Table,,false,
MultiblockData,getHeight,,int,,false,
MultiblockData,getLength,,int,,false,
MultiblockData,getMaxPos,,BlockPos,,false,
MultiblockData,getMinPos,,BlockPos,,false,
MultiblockData,getWidth,,int,,false,
TileEntityBin,getCapacity,,int,,false,
TileEntityBin,getLock,,Table,,false,
TileEntityBin,getStored,,Table,,false,
TileEntityBin,isLocked,,boolean,,false,
TileEntityBin,lock,,,,false,"Must not be creative, empty, or already locked"
TileEntityBin,unlock,,,,false,"Must not be creative, or unlocked"
TileEntityChemicalTank,decrementDumpingMode,,,,true,
TileEntityChemicalTank,getCapacity,,long,,false,
TileEntityChemicalTank,getDrainItem,,Table,,false,
TileEntityChemicalTank,getDumpingMode,,"IDLE, DUMPING_EXCESS, DUMPING",,false,
TileEntityChemicalTank,getFillItem,,Table,,false,
TileEntityChemicalTank,getFilledPercentage,,double,,false,
TileEntityChemicalTank,getNeeded,,long,,false,
TileEntityChemicalTank,getStored,,Table,,false,
TileEntityChemicalTank,incrementDumpingMode,,,,true,
TileEntityChemicalTank,setDumpingMode,mode,,,true,
TileEntityEnergyCube,getChargeItem,,Table,,false,
TileEntityEnergyCube,getDischargeItem,,Table,,false,
TileEntityFluidTank,decrementContainerEditMode,,,,true,
TileEntityFluidTank,getCapacity,,int,,false,
TileEntityFluidTank,getContainerEditMode,,"BOTH, FILL, EMPTY",,false,
TileEntityFluidTank,getFilledPercentage,,double,,false,
TileEntityFluidTank,getInputItem,,Table,,false,
TileEntityFluidTank,getNeeded,,int,,false,
TileEntityFluidTank,getOutputItem,,Table,,false,
TileEntityFluidTank,getStored,,Table,,false,
TileEntityFluidTank,incrementContainerEditMode,,,,true,
TileEntityFluidTank,setContainerEditMode,mode,,,true,
TileEntityLogisticalSorter,addFilter,filter,boolean,,true,
TileEntityLogisticalSorter,clearDefaultColor,,,,true,
TileEntityLogisticalSorter,decrementDefaultColor,,,,true,
TileEntityLogisticalSorter,getAutoMode,,boolean,,false,
TileEntityLogisticalSorter,getDefaultColor,,"BLACK, DARK_BLUE, DARK_GREEN, DARK_AQUA, DARK_RED, PURPLE, ORANGE, GRAY, DARK_GRAY, INDIGO, BRIGHT_GREEN, AQUA, RED, PINK, YELLOW, WHITE, BROWN, BRIGHT_PINK",,false,
TileEntityLogisticalSorter,getFilters,,List,,false,
TileEntityLogisticalSorter,incrementDefaultColor,,,,true,
TileEntityLogisticalSorter,isRoundRobin,,boolean,,false,
TileEntityLogisticalSorter,isSingle,,boolean,,false,
TileEntityLogisticalSorter,removeFilter,filter,boolean,,true,
TileEntityLogisticalSorter,setAutoMode,value,,,true,
TileEntityLogisticalSorter,setDefaultColor,color,,,true,
TileEntityLogisticalSorter,setRoundRobin,value,,,true,
TileEntityLogisticalSorter,setSingle,value,,,true,
TileEntityModificationStation,getContainerItem,,Table,,false,
TileEntityModificationStation,getEnergyItem,,Table,,false,
TileEntityModificationStation,getModuleItem,,Table,,false,
TileEntityQuantumEntangloporter,createFrequency,name,,,true,Requires frequency to not already exist and for it to be public so that it can make it as the player who owns the block. Also sets the frequency after creation
TileEntityQuantumEntangloporter,getBufferFluid,,Table,,false,
TileEntityQuantumEntangloporter,getBufferFluidCapacity,,int,,false,
TileEntityQuantumEntangloporter,getBufferFluidFilledPercentage,,double,,false,
TileEntityQuantumEntangloporter,getBufferFluidNeeded,,int,,false,
TileEntityQuantumEntangloporter,getBufferGas,,Table,,false,
TileEntityQuantumEntangloporter,getBufferGasCapacity,,long,,false,
TileEntityQuantumEntangloporter,getBufferGasFilledPercentage,,double,,false,
TileEntityQuantumEntangloporter,getBufferGasNeeded,,long,,false,
TileEntityQuantumEntangloporter,getBufferInfuseType,,Table,,false,
TileEntityQuantumEntangloporter,getBufferInfuseTypeCapacity,,long,,false,
TileEntityQuantumEntangloporter,getBufferInfuseTypeFilledPercentage,,double,,false,
TileEntityQuantumEntangloporter,getBufferInfuseTypeNeeded,,long,,false,
TileEntityQuantumEntangloporter,getBufferItem,,Table,,false,
TileEntityQuantumEntangloporter,getBufferPigment,,Table,,false,
TileEntityQuantumEntangloporter,getBufferPigmentCapacity,,long,,false,
TileEntityQuantumEntangloporter,getBufferPigmentFilledPercentage,,double,,false,
TileEntityQuantumEntangloporter,getBufferPigmentNeeded,,long,,false,
TileEntityQuantumEntangloporter,getBufferSlurry,,Table,,false,
TileEntityQuantumEntangloporter,getBufferSlurryCapacity,,long,,false,
TileEntityQuantumEntangloporter,getBufferSlurryFilledPercentage,,double,,false,
TileEntityQuantumEntangloporter,getBufferSlurryNeeded,,long,,false,
TileEntityQuantumEntangloporter,getEnvironmentalLoss,,double,,false,May not be accurate if there is no frequency
TileEntityQuantumEntangloporter,getFrequencies,,Collection,,false,Lists public frequencies
TileEntityQuantumEntangloporter,getFrequency,,InventoryFrequency,,false,Requires a frequency to be selected
TileEntityQuantumEntangloporter,getTemperature,,double,,false,Requires a frequency to be selected
TileEntityQuantumEntangloporter,getTransferLoss,,double,,false,May not be accurate if there is no frequency
TileEntityQuantumEntangloporter,hasFrequency,,boolean,,false,
TileEntityQuantumEntangloporter,setFrequency,name,,,true,Requires a public frequency to exist
TileEntityRadioactiveWasteBarrel,getCapacity,,long,,false,
TileEntityRadioactiveWasteBarrel,getFilledPercentage,,double,,false,
TileEntityRadioactiveWasteBarrel,getNeeded,,long,,false,
TileEntityRadioactiveWasteBarrel,getStored,,Table,,false,
TileEntityTeleporter,createFrequency,name,,,true,Requires frequency to not already exist and for it to be public so that it can make it as the player who owns the block. Also sets the frequency after creation
TileEntityTeleporter,decrementFrequencyColor,,,,true,Requires a frequency to be selected
TileEntityTeleporter,getActiveTeleporters,,Set,,false,Requires a frequency to be selected
TileEntityTeleporter,getEnergyItem,,Table,,false,
TileEntityTeleporter,getFrequencies,,Collection,,false,Lists public frequencies
TileEntityTeleporter,getFrequency,,TeleporterFrequency,,false,Requires a frequency to be selected
TileEntityTeleporter,getFrequencyColor,,"BLACK, DARK_BLUE, DARK_GREEN, DARK_AQUA, DARK_RED, PURPLE, ORANGE, GRAY, DARK_GRAY, INDIGO, BRIGHT_GREEN, AQUA, RED, PINK, YELLOW, WHITE, BROWN, BRIGHT_PINK",,false,Requires a frequency to be selected
TileEntityTeleporter,getStatus,,String,,false,
TileEntityTeleporter,hasFrequency,,boolean,,false,
TileEntityTeleporter,incrementFrequencyColor,,,,true,Requires a frequency to be selected
TileEntityTeleporter,setFrequency,name,,,true,Requires a public frequency to exist
TileEntityTeleporter,setFrequencyColor,color,,,true,Requires a frequency to be selected
TileEntityMekanism,getComparatorLevel,,int,COMPARATOR,false,
TileEntityMekanism,getDirection,,"DOWN, UP, NORTH, SOUTH, WEST, EAST",DIRECTIONAL,false,
TileEntityMekanism,getEnergy,,FloatingLong,ENERGY,false,
TileEntityMekanism,getEnergyFilledPercentage,,double,ENERGY,false,
TileEntityMekanism,getEnergyNeeded,,FloatingLong,ENERGY,false,
TileEntityMekanism,getMaxEnergy,,FloatingLong,ENERGY,false,
TileEntityMekanism,getRedstoneMode,,"DISABLED, HIGH, LOW, PULSE",REDSTONE_CONTROL,false,
TileEntityMekanism,setRedstoneMode,type,,REDSTONE_CONTROL,true,
TileComponentConfig,canEject,type,boolean,,false,
TileComponentConfig,decrementMode,"type, side",,,true,
TileComponentConfig,getConfigurableTypes,,List,,false,
TileComponentConfig,getMode,"type, side","NONE, INPUT, INPUT_1, INPUT_2, OUTPUT, OUTPUT_1, OUTPUT_2, INPUT_OUTPUT, ENERGY, EXTRA",,true,
TileComponentConfig,getSupportedModes,type,Set,,true,
TileComponentConfig,incrementMode,"type, side",,,true,
TileComponentConfig,isEjecting,type,boolean,,false,
TileComponentConfig,setEjecting,"type, ejecting",,,true,
TileComponentConfig,setMode,"type, side, mode",,,true,
TileComponentEjector,clearInputColor,side,,,true,
TileComponentEjector,clearOutputColor,,,,true,
TileComponentEjector,decrementInputColor,side,,,true,
TileComponentEjector,decrementOutputColor,,,,true,
TileComponentEjector,getInputColor,side,"BLACK, DARK_BLUE, DARK_GREEN, DARK_AQUA, DARK_RED, PURPLE, ORANGE, GRAY, DARK_GRAY, INDIGO, BRIGHT_GREEN, AQUA, RED, PINK, YELLOW, WHITE, BROWN, BRIGHT_PINK",,false,
TileComponentEjector,getOutputColor,,"BLACK, DARK_BLUE, DARK_GREEN, DARK_AQUA, DARK_RED, PURPLE, ORANGE, GRAY, DARK_GRAY, INDIGO, BRIGHT_GREEN, AQUA, RED, PINK, YELLOW, WHITE, BROWN, BRIGHT_PINK",,false,
TileComponentEjector,hasStrictInput,,boolean,,false,
TileComponentEjector,incrementInputColor,side,,,true,
TileComponentEjector,incrementOutputColor,,,,true,
TileComponentEjector,setInputColor,"side, color",,,true,
TileComponentEjector,setOutputColor,color,,,true,
TileComponentEjector,setStrictInput,strict,,,true,
TileComponentSecurity,getOwnerName,,String,,false,
TileComponentSecurity,getOwnerUUID,,String,,false,
TileComponentSecurity,getSecurityMode,,"PUBLIC, PRIVATE, TRUSTED",,false,
TileComponentUpgrade,getInstalledUpgrades,,Table,,false,
TileComponentUpgrade,getSupportedUpgrades,,Set,,false,
TileEntityCombiningFactory,getSecondaryInput,,Table,,false,
TileEntityFactory,getEnergyItem,,Table,,false,
TileEntityFactory,getEnergyUsage,,FloatingLong,,false,
TileEntityFactory,getInput,process,Table,,false,
TileEntityFactory,getOutput,process,Table,,false,
TileEntityFactory,getRecipeProgress,process,int,,false,
TileEntityFactory,getTicksRequired,,int,,false,Total number of ticks it takes currently for the recipe to complete
TileEntityFactory,isAutoSortEnabled,,boolean,,false,
TileEntityFactory,setAutoSort,enabled,,,true,
TileEntityItemStackGasToItemStackFactory,dumpChemical,,,,true,
TileEntityItemStackGasToItemStackFactory,getChemical,,Table,,false,
TileEntityItemStackGasToItemStackFactory,getChemicalCapacity,,long,,false,
TileEntityItemStackGasToItemStackFactory,getChemicalFilledPercentage,,double,,false,
TileEntityItemStackGasToItemStackFactory,getChemicalItem,,Table,,false,
TileEntityItemStackGasToItemStackFactory,getChemicalNeeded,,long,,false,
TileEntityMetallurgicInfuserFactory,dumpInfuseType,,,,true,
TileEntityMetallurgicInfuserFactory,getInfuseType,,Table,,false,
TileEntityMetallurgicInfuserFactory,getInfuseTypeCapacity,,long,,false,
TileEntityMetallurgicInfuserFactory,getInfuseTypeFilledPercentage,,double,,false,
TileEntityMetallurgicInfuserFactory,getInfuseTypeItem,,Table,,false,
TileEntityMetallurgicInfuserFactory,getInfuseTypeNeeded,,long,,false,
TileEntitySawingFactory,getSecondaryOutput,process,Table,,false,
TileEntityBasicLaser,getDiggingPos,,BlockPos,,false,
TileEntityLaserAmplifier,getDelay,,int,,false,
TileEntityLaserAmplifier,getMaxThreshold,,FloatingLong,,false,
TileEntityLaserAmplifier,getMinThreshold,,FloatingLong,,false,
TileEntityLaserAmplifier,getRedstoneOutputMode,,"OFF, ENTITY_DETECTION, ENERGY_CONTENTS",,false,
TileEntityLaserAmplifier,setDelay,delay,,,true,
TileEntityLaserAmplifier,setMaxThreshold,threshold,,,true,
TileEntityLaserAmplifier,setMinThreshold,threshold,,,true,
TileEntityLaserAmplifier,setRedstoneOutputMode,mode,,,true,
TileEntityLaserTractorBeam,getItemInSlot,slot,Table,,false,
TileEntityLaserTractorBeam,getSlotCount,,int,,false,
TileEntityAntiprotonicNucleosynthesizer,getEnergyItem,,Table,,false,
TileEntityAntiprotonicNucleosynthesizer,getEnergyUsage,,FloatingLong,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputChemical,,Table,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputChemicalCapacity,,long,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputChemicalFilledPercentage,,double,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputChemicalItem,,Table,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputChemicalNeeded,,long,,false,
TileEntityAntiprotonicNucleosynthesizer,getInputItem,,Table,,false,
TileEntityAntiprotonicNucleosynthesizer,getOutputItem,,Table,,false,
TileEntityChemicalCrystallizer,getEnergyItem,,Table,,false,
TileEntityChemicalCrystallizer,getEnergyUsage,,FloatingLong,,false,
TileEntityChemicalCrystallizer,getInput,,Table,,false,
TileEntityChemicalCrystallizer,getInputCapacity,,long,,false,
TileEntityChemicalCrystallizer,getInputFilledPercentage,,double,,false,
TileEntityChemicalCrystallizer,getInputItem,,Table,,false,
TileEntityChemicalCrystallizer,getInputNeeded,,long,,false,
TileEntityChemicalCrystallizer,getOutput,,Table,,false,
TileEntityChemicalDissolutionChamber,getEnergyItem,,Table,,false,
TileEntityChemicalDissolutionChamber,getEnergyUsage,,FloatingLong,,false,
TileEntityChemicalDissolutionChamber,getGasInput,,Table,,false,
TileEntityChemicalDissolutionChamber,getGasInputCapacity,,long,,false,
TileEntityChemicalDissolutionChamber,getGasInputFilledPercentage,,double,,false,
TileEntityChemicalDissolutionChamber,getGasInputNeeded,,long,,false,
TileEntityChemicalDissolutionChamber,getInputGasItem,,Table,,false,
TileEntityChemicalDissolutionChamber,getInputItem,,Table,,false,
TileEntityChemicalDissolutionChamber,getOutput,,Table,,false,
TileEntityChemicalDissolutionChamber,getOutputCapacity,,long,,false,
TileEntityChemicalDissolutionChamber,getOutputFilledPercentage,,double,,false,
TileEntityChemicalDissolutionChamber,getOutputItem,,Table,,false,
TileEntityChemicalDissolutionChamber,getOutputNeeded,,long,,false,
TileEntityChemicalInfuser,getEnergyItem,,Table,,false,
TileEntityChemicalInfuser,getEnergyUsage,,FloatingLong,,false,
TileEntityChemicalInfuser,getLeftInput,,Table,,false,
TileEntityChemicalInfuser,getLeftInputCapacity,,long,,false,
TileEntityChemicalInfuser,getLeftInputFilledPercentage,,double,,false,
TileEntityChemicalInfuser,getLeftInputItem,,Table,,false,
TileEntityChemicalInfuser,getLeftInputNeeded,,long,,false,
TileEntityChemicalInfuser,getOutput,,Table,,false,
TileEntityChemicalInfuser,getOutputCapacity,,long,,false,
TileEntityChemicalInfuser,getOutputFilledPercentage,,double,,false,
TileEntityChemicalInfuser,getOutputItem,,Table,,false,
TileEntityChemicalInfuser,getOutputNeeded,,long,,false,
TileEntityChemicalInfuser,getRightInput,,Table,,false,
TileEntityChemicalInfuser,getRightInputCapacity,,long,,false,
TileEntityChemicalInfuser,getRightInputFilledPercentage,,double,,false,
TileEntityChemicalInfuser,getRightInputItem,,Table,,false,
TileEntityChemicalInfuser,getRightInputNeeded,,long,,false,
TileEntityChemicalOxidizer,getEnergyItem,,Table,,false,
TileEntityChemicalOxidizer,getEnergyUsage,,FloatingLong,,false,
TileEntityChemicalOxidizer,getInput,,Table,,false,
TileEntityChemicalOxidizer,getOutput,,Table,,false,
TileEntityChemicalOxidizer,getOutputCapacity,,long,,false,
TileEntityChemicalOxidizer,getOutputFilledPercentage,,double,,false,
TileEntityChemicalOxidizer,getOutputItem,,Table,,false,
TileEntityChemicalOxidizer,getOutputNeeded,,long,,false,
TileEntityChemicalWasher,getEnergyItem,,Table,,false,
TileEntityChemicalWasher,getEnergyUsage,,FloatingLong,,false,
TileEntityChemicalWasher,getFluid,,Table,,false,
TileEntityChemicalWasher,getFluidCapacity,,int,,false,
TileEntityChemicalWasher,getFluidFilledPercentage,,double,,false,
TileEntityChemicalWasher,getFluidItemInput,,Table,,false,
TileEntityChemicalWasher,getFluidItemOutput,,Table,,false,
TileEntityChemicalWasher,getFluidNeeded,,int,,false,
TileEntityChemicalWasher,getOutputItem,,Table,,false,
TileEntityChemicalWasher,getSlurryInput,,Table,,false,
TileEntityChemicalWasher,getSlurryInputCapacity,,long,,false,
TileEntityChemicalWasher,getSlurryInputFilledPercentage,,double,,false,
TileEntityChemicalWasher,getSlurryInputNeeded,,long,,false,
TileEntityChemicalWasher,getSlurryOutput,,Table,,false,
TileEntityChemicalWasher,getSlurryOutputCapacity,,long,,false,
TileEntityChemicalWasher,getSlurryOutputFilledPercentage,,double,,false,
TileEntityChemicalWasher,getSlurryOutputNeeded,,long,,false,
TileEntityCombiner,getEnergyItem,,Table,,false,
TileEntityCombiner,getEnergyUsage,,FloatingLong,,false,
TileEntityCombiner,getMainInput,,Table,,false,
TileEntityCombiner,getOutput,,Table,,false,
TileEntityCombiner,getSecondaryInput,,Table,,false,
TileEntityDigitalMiner,addFilter,filter,boolean,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,clearInverseModeReplaceTarget,,,,true,
TileEntityDigitalMiner,getAutoEject,,boolean,,false,
TileEntityDigitalMiner,getAutoPull,,boolean,,false,
TileEntityDigitalMiner,getEnergyItem,,Table,,false,
TileEntityDigitalMiner,getEnergyUsage,,FloatingLong,,false,
TileEntityDigitalMiner,getFilters,,List,,false,
TileEntityDigitalMiner,getInverseMode,,boolean,,false,
TileEntityDigitalMiner,getInverseModeReplaceTarget,,String,,false,
TileEntityDigitalMiner,getInverseModeRequiresReplacement,,boolean,,false,
TileEntityDigitalMiner,getItemInSlot,slot,Table,,false,
TileEntityDigitalMiner,getMaxRadius,,int,,false,
TileEntityDigitalMiner,getMaxY,,int,,false,
TileEntityDigitalMiner,getMinY,,int,,false,
TileEntityDigitalMiner,getRadius,,int,,false,
TileEntityDigitalMiner,getSilkTouch,,boolean,,false,
TileEntityDigitalMiner,getSlotCount,,int,,false,
TileEntityDigitalMiner,getState,,"IDLE, SEARCHING, PAUSED, FINISHED",,false,
TileEntityDigitalMiner,getToMine,,int,,false,
TileEntityDigitalMiner,isRunning,,boolean,,false,
TileEntityDigitalMiner,removeFilter,filter,boolean,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,reset,,,,true,
TileEntityDigitalMiner,setAutoEject,eject,,,true,
TileEntityDigitalMiner,setAutoPull,pull,,,true,
TileEntityDigitalMiner,setInverseMode,enabled,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setInverseModeReplaceTarget,target,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setInverseModeRequiresReplacement,requiresReplacement,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setMaxY,maxY,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setMinY,minY,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setRadius,radius,,,true,Require miner to be stopped/reset first
TileEntityDigitalMiner,setSilkTouch,silk,,,true,
TileEntityDigitalMiner,start,,,,true,
TileEntityDigitalMiner,stop,,,,true,
TileEntityDimensionalStabilizer,disableChunkLoadingFor,radius,,,true,"Range: [1, 2]"
TileEntityDimensionalStabilizer,enableChunkLoadingFor,radius,,,true,"Range: [1, 2]"
TileEntityDimensionalStabilizer,getChunksLoaded,,int,,false,
TileEntityDimensionalStabilizer,getEnergyItem,,Table,,false,
TileEntityDimensionalStabilizer,isChunkLoadingAt,"x, z",boolean,,false,"Range: [-2, 2]"
TileEntityDimensionalStabilizer,setChunkLoadingAt,"x, z, load",,,true,"Range: [-2, 2]"
TileEntityDimensionalStabilizer,toggleChunkLoadingAt,"x, z",,,true,"Range: [-2, 2]"
TileEntityElectricPump,getEnergyItem,,Table,,false,
TileEntityElectricPump,getFluid,,Table,,false,
TileEntityElectricPump,getFluidCapacity,,int,,false,
TileEntityElectricPump,getFluidFilledPercentage,,double,,false,
TileEntityElectricPump,getFluidNeeded,,int,,false,
TileEntityElectricPump,getInputItem,,Table,,false,
TileEntityElectricPump,getOutputItem,,Table,,false,
TileEntityElectricPump,reset,,,,true,
TileEntityElectrolyticSeparator,decrementLeftOutputDumpingMode,,,,true,
TileEntityElectrolyticSeparator,decrementRightOutputDumpingMode,,,,true,
TileEntityElectrolyticSeparator,getEnergyItem,,Table,,false,
TileEntityElectrolyticSeparator,getEnergyUsage,,FloatingLong,,false,
TileEntityElectrolyticSeparator,getInput,,Table,,false,
TileEntityElectrolyticSeparator,getInputCapacity,,int,,false,
TileEntityElectrolyticSeparator,getInputFilledPercentage,,double,,false,
TileEntityElectrolyticSeparator,getInputItem,,Table,,false,
TileEntityElectrolyticSeparator,getInputNeeded,,int,,false,
TileEntityElectrolyticSeparator,getLeftOutput,,Table,,false,
TileEntityElectrolyticSeparator,getLeftOutputCapacity,,long,,false,
TileEntityElectrolyticSeparator,getLeftOutputDumpingMode,,"IDLE, DUMPING_EXCESS, DUMPING",,false,
TileEntityElectrolyticSeparator,getLeftOutputFilledPercentage,,double,,false,
TileEntityElectrolyticSeparator,getLeftOutputItem,,Table,,false,
TileEntityElectrolyticSeparator,getLeftOutputNeeded,,long,,false,
TileEntityElectrolyticSeparator,getRightOutput,,Table,,false,
TileEntityElectrolyticSeparator,getRightOutputCapacity,,long,,false,
TileEntityElectrolyticSeparator,getRightOutputDumpingMode,,"IDLE, DUMPING_EXCESS, DUMPING",,false,
TileEntityElectrolyticSeparator,getRightOutputFilledPercentage,,double,,false,
TileEntityElectrolyticSeparator,getRightOutputItem,,Table,,false,
TileEntityElectrolyticSeparator,getRightOutputNeeded,,long,,false,
TileEntityElectrolyticSeparator,incrementLeftOutputDumpingMode,,,,true,
TileEntityElectrolyticSeparator,incrementRightOutputDumpingMode,,,,true,
TileEntityElectrolyticSeparator,setLeftOutputDumpingMode,mode,,,true,
TileEntityElectrolyticSeparator,setRightOutputDumpingMode,mode,,,true,
