Class,Method Name,Params,Returns,Restriction,Requires Public Security,Description
Chemical Washer,getOutputItem,,Table (ItemStack),,false,
Chemical Washer,getSlurryInput,,Table (ChemicalStack),,false,
Chemical Washer,getSlurryInputCapacity,,Number (long),,false,
Chemical Washer,getSlurryInputFilledPercentage,,Number (double),,false,
Chemical Washer,getSlurryInputNeeded,,Number (long),,false,
Chemical Washer,getSlurryOutput,,Table (ChemicalStack),,false,
Chemical Washer,getSlurryOutputCapacity,,Number (long),,false,
Chemical Washer,getSlurryOutputFilledPercentage,,Number (double),,false,
Chemical Washer,getSlurryOutputNeeded,,Number (long),,false,
Combiner,getEnergyItem,,Table (ItemStack),,false,
Combiner,getEnergyUsage,,Number (FloatingLong),,false,
Combiner,getMainInput,,Table (ItemStack),,false,
Combiner,getOutput,,Table (ItemStack),,false,
Combiner,getSecondaryInput,,Table (ItemStack),,false,
Combining Factory,getSecondaryInput,,Table (ItemStack),,false,
Compressing/Injecting/Purifying Factory,dumpChemical,,,,true,
Compressing/Injecting/Purifying Factory,getChemical,,Table (ChemicalStack),,false,
Compressing/Injecting/Purifying Factory,getChemicalCapacity,,Number (long),,false,
Compressing/Injecting/Purifying Factory,getChemicalFilledPercentage,,Number (double),,false,
Compressing/Injecting/Purifying Factory,getChemicalItem,,Table (ItemStack),,false,
Compressing/Injecting/Purifying Factory,getChemicalNeeded,,Number (long),,false,
Compressing/Injecting/Purifying Machine,dumpChemical,,,,true,
Compressing/Injecting/Purifying Machine,getChemical,,Table (ChemicalStack),,false,
Compressing/Injecting/Purifying Machine,getChemicalCapacity,,Number (long),,false,
Compressing/Injecting/Purifying Machine,getChemicalFilledPercentage,,Number (double),,false,
Compressing/Injecting/Purifying Machine,getChemicalItem,,Table (ItemStack),,false,
Compressing/Injecting/Purifying Machine,getChemicalNeeded,,Number (long),,false,
Compressing/Injecting/Purifying Machine,getEnergyItem,,Table (ItemStack),,false,
Compressing/Injecting/Purifying Machine,getEnergyUsage,,Number (FloatingLong),,false,
Compressing/Injecting/Purifying Machine,getInput,,Table (ItemStack),,false,
Compressing/Injecting/Purifying Machine,getOutput,,Table (ItemStack),,false,
Digital Miner,addFilter,filter: Table (MinerFilter),boolean,,true,Require miner to be stopped/reset first
Digital Miner,clearInverseModeReplaceTarget,,,,true,
Digital Miner,getAutoEject,,boolean,,false,
Digital Miner,getAutoPull,,boolean,,false,
Digital Miner,getEnergyItem,,Table (ItemStack),,false,
Digital Miner,getEnergyUsage,,Number (FloatingLong),,false,
Digital Miner,getFilters,,List,,false,
Digital Miner,getInverseMode,,boolean,,false,
Digital Miner,getInverseModeReplaceTarget,,String (Item),,false,
Digital Miner,getInverseModeRequiresReplacement,,boolean,,false,
Digital Miner,getItemInSlot,slot: Number (int),Table (ItemStack),,false,
Digital Miner,getMaxRadius,,Number (int),,false,
Digital Miner,getMaxY,,Number (int),,false,
Digital Miner,getMinY,,Number (int),,false,
Digital Miner,getRadius,,Number (int),,false,
Digital Miner,getSilkTouch,,boolean,,false,
Digital Miner,getSlotCount,,Number (int),,false,
Digital Miner,getState,,String (State),,false,
Digital Miner,getToMine,,Number (int),,false,
Digital Miner,isRunning,,boolean,,false,
Digital Miner,removeFilter,filter: Table (MinerFilter),boolean,,true,Require miner to be stopped/reset first
Digital Miner,reset,,,,true,
Digital Miner,setAutoEject,eject: boolean,,,true,
Digital Miner,setAutoPull,pull: boolean,,,true,
Digital Miner,setInverseMode,enabled: boolean,,,true,Require miner to be stopped/reset first
Digital Miner,setInverseModeReplaceTarget,target: String (Item),,,true,Require miner to be stopped/reset first
Digital Miner,setInverseModeRequiresReplacement,requiresReplacement: boolean,,,true,Require miner to be stopped/reset first
Digital Miner,setMaxY,maxY: Number (int),,,true,Require miner to be stopped/reset first
Digital Miner,setMinY,minY: Number (int),,,true,Require miner to be stopped/reset first
Digital Miner,setRadius,radius: Number (int),,,true,Require miner to be stopped/reset first
Digital Miner,setSilkTouch,silk: boolean,,,true,
Digital Miner,start,,,,true,
Digital Miner,stop,,,,true,
Dimensional Stabilizer,disableChunkLoadingFor,radius: Number (int),,,true,"Range: [1, 2]"
Dimensional Stabilizer,enableChunkLoadingFor,radius: Number (int),,,true,"Range: [1, 2]"
Dimensional Stabilizer,getChunksLoaded,,Number (int),,false,
Dimensional Stabilizer,getEnergyItem,,Table (ItemStack),,false,
Dimensional Stabilizer,isChunkLoadingAt,"x: Number (int), z: Number (int)",boolean,,false,"Range: [-2, 2]"
Dimensional Stabilizer,setChunkLoadingAt,"x: Number (int), z: Number (int), load: boolean",,,true,"Range: [-2, 2]"
Dimensional Stabilizer,toggleChunkLoadingAt,"x: Number (int), z: Number (int)",,,true,"Range: [-2, 2]"
Diversion Transporter,decrementMode,side: String (Direction),,,false,
Diversion Transporter,getMode,side: String (Direction),String (DiversionControl),,false,
Diversion Transporter,incrementMode,side: String (Direction),,,false,
Diversion Transporter,setMode,"side: String (Direction), mode: String (DiversionControl)",,,false,
Dynamic Tank Multiblock (formed),decrementContainerEditMode,,,,false,
Dynamic Tank Multiblock (formed),getChemicalTankCapacity,,Number (long),,false,
Dynamic Tank Multiblock (formed),getContainerEditMode,,String (ContainerEditMode),,false,
Dynamic Tank Multiblock (formed),getFilledPercentage,,Number (double),,false,
Dynamic Tank Multiblock (formed),getInputItem,,Table (ItemStack),,false,
Dynamic Tank Multiblock (formed),getOutputItem,,Table (ItemStack),,false,
Dynamic Tank Multiblock (formed),getStored,,Varies,,false,
Dynamic Tank Multiblock (formed),getTankCapacity,,Number (int),,false,
Dynamic Tank Multiblock (formed),incrementContainerEditMode,,,,false,
Dynamic Tank Multiblock (formed),setContainerEditMode,mode: String (ContainerEditMode),,,false,
Electric Machine,getEnergyItem,,Table (ItemStack),,false,
Electric Machine,getEnergyUsage,,Number (FloatingLong),,false,
Electric Machine,getInput,,Table (ItemStack),,false,
Electric Machine,getOutput,,Table (ItemStack),,false,
Electric Pump,getEnergyItem,,Table (ItemStack),,false,
Electric Pump,getFluid,,Table (FluidStack),,false,
Electric Pump,getFluidCapacity,,Number (int),,false,
Electric Pump,getFluidFilledPercentage,,Number (double),,false,
Electric Pump,getFluidNeeded,,Number (int),,false,
Electric Pump,getInputItem,,Table (ItemStack),,false,
Electric Pump,getOutputItem,,Table (ItemStack),,false,
Electric Pump,reset,,,,true,
Electrolytic Separator,decrementLeftOutputDumpingMode,,,,true,
Electrolytic Separator,decrementRightOutputDumpingMode,,,,true,
Electrolytic Separator,getEnergyItem,,Table (ItemStack),,false,
Electrolytic Separator,getEnergyUsage,,Number (FloatingLong),,false,
Electrolytic Separator,getInput,,Table (FluidStack),,false,
Electrolytic Separator,getInputCapacity,,Number (int),,false,
Electrolytic Separator,getInputFilledPercentage,,Number (double),,false,
Electrolytic Separator,getInputItem,,Table (ItemStack),,false,
Electrolytic Separator,getInputNeeded,,Number (int),,false,
Electrolytic Separator,getLeftOutput,,Table (ChemicalStack),,false,
Electrolytic Separator,getLeftOutputCapacity,,Number (long),,false,
Electrolytic Separator,getLeftOutputDumpingMode,,String (GasMode),,false,
Electrolytic Separator,getLeftOutputFilledPercentage,,Number (double),,false,
Electrolytic Separator,getLeftOutputItem,,Table (ItemStack),,false,
Electrolytic Separator,getLeftOutputNeeded,,Number (long),,false,
Electrolytic Separator,getRightOutput,,Table (ChemicalStack),,false,
Electrolytic Separator,getRightOutputCapacity,,Number (long),,false,
Electrolytic Separator,getRightOutputDumpingMode,,String (GasMode),,false,
Electrolytic Separator,getRightOutputFilledPercentage,,Number (double),,false,
Electrolytic Separator,getRightOutputItem,,Table (ItemStack),,false,
Electrolytic Separator,getRightOutputNeeded,,Number (long),,false,
Electrolytic Separator,incrementLeftOutputDumpingMode,,,,true,
Electrolytic Separator,incrementRightOutputDumpingMode,,,,true,
Electrolytic Separator,setLeftOutputDumpingMode,mode: String (GasMode),,,true,
Electrolytic Separator,setRightOutputDumpingMode,mode: String (GasMode),,,true,
Energy Cube,getChargeItem,,Table (ItemStack),,false,
Energy Cube,getDischargeItem,,Table (ItemStack),,false,
Factory Machine,getEnergyItem,,Table (ItemStack),,false,
Factory Machine,getEnergyUsage,,Number (FloatingLong),,false,
Factory Machine,getInput,process: Number (int),Table (ItemStack),,false,
Factory Machine,getOutput,process: Number (int),Table (ItemStack),,false,
Factory Machine,getRecipeProgress,process: Number (int),Number (int),,false,
Factory Machine,getTicksRequired,,Number (int),,false,Total number of ticks it takes currently for the recipe to complete
Factory Machine,isAutoSortEnabled,,boolean,,false,
Factory Machine,setAutoSort,enabled: boolean,,,true,
Filter Wrapper,getFilterType,,String (FilterType),,false,
Filter Wrapper,isEnabled,,boolean,,false,
Filter Wrapper,setEnabled,arg0: boolean,,,false,
Filter Wrapper (Digital Miner),clone,,Table (MinerFilter),,false,
Filter Wrapper (Digital Miner),getReplaceTarget,,String (Item),,false,
Filter Wrapper (Digital Miner),getRequiresReplacement,,boolean,,false,
Filter Wrapper (Digital Miner),hasBlacklistedElement,,boolean,,false,
Filter Wrapper (Digital Miner),setReplaceTarget,value: String (Item),,,false,
Filter Wrapper (Digital Miner),setRequiresReplacement,value: boolean,,,false,
Filter Wrapper (ItemStack),getItemStack,,Table (ItemStack),,false,
Filter Wrapper (ItemStack),setItem,item: String (Item),,,false,
Filter Wrapper (ItemStack),setItemStack,arg0: Table (ItemStack),,,false,
Filter Wrapper (Logistical Sorter),clone,,Table (SorterFilter),,false,
Filter Wrapper (Logistical Sorter),getAllowDefault,,boolean,,false,
Filter Wrapper (Logistical Sorter),getColor,,String (EnumColor),,false,
Filter Wrapper (Logistical Sorter),getMax,,Number (int),,false,
Filter Wrapper (Logistical Sorter),getMin,,Number (int),,false,
Filter Wrapper (Logistical Sorter),getSizeMode,,boolean,,false,
Filter Wrapper (Logistical Sorter),setAllowDefault,value: boolean,,,false,
Filter Wrapper (Logistical Sorter),setColor,value: String (EnumColor),,,false,
Filter Wrapper (Logistical Sorter),setMinMax,"min: Number (int), max: Number (int)",,,false,
Filter Wrapper (Logistical Sorter),setSizeMode,value: boolean,,,false,
Filter Wrapper (Mod Id),getModID,,String,,false,
Filter Wrapper (Mod Id),setModID,arg0: String,,,false,
Filter Wrapper (Oredictionificator Item),getSelectedOutput,,String (Item),,false,
Filter Wrapper (Oredictionificator Item),setSelectedOutput,item: String (Item),,,false,
Filter Wrapper (Oredictionificator),clone,,Table (OredictionificatorFilter),,false,
Filter Wrapper (Oredictionificator),getFilter,,String,,false,
Filter Wrapper (Oredictionificator),setFilter,tag: String (ResourceLocation),,,false,
Filter Wrapper (QIO),clone,,Table (QIOFilter),,false,
Filter Wrapper (Tag),getTagName,,String,,false,
Filter Wrapper (Tag),setTagName,arg0: String,,,false,
Fission Reactor Logic Adapter,getLogicMode,,String (FissionReactorLogic),,false,
Fission Reactor Logic Adapter,getRedstoneLogicStatus,,String (RedstoneStatus),,false,
Fission Reactor Logic Adapter,setLogicMode,logicType: String (FissionReactorLogic),,,false,
Fission Reactor Multiblock (formed),activate,,,,false,"Must be disabled, and if meltdowns are disabled must not have been force disabled"
Fission Reactor Multiblock (formed),getActualBurnRate,,Number (double),,false,Actual burn rate as it may be lower if say there is not enough fuel
Fission Reactor Multiblock (formed),getBoilEfficiency,,Number (double),,false,
Fission Reactor Multiblock (formed),getBurnRate,,Number (double),,false,Configured burn rate
Fission Reactor Multiblock (formed),getCoolant,,Varies,,false,
Fission Reactor Multiblock (formed),getCoolantCapacity,,Number (long),,false,
Fission Reactor Multiblock (formed),getCoolantFilledPercentage,,Number (double),,false,
Fission Reactor Multiblock (formed),getCoolantNeeded,,Number (long),,false,
Fission Reactor Multiblock (formed),getDamagePercent,,Number (long),,false,
Fission Reactor Multiblock (formed),getEnvironmentalLoss,,Number (double),,false,
Fission Reactor Multiblock (formed),getFuel,,Table (ChemicalStack),,false,
Fission Reactor Multiblock (formed),getFuelAssemblies,,Number (int),,false,
Fission Reactor Multiblock (formed),getFuelCapacity,,Number (long),,false,
Fission Reactor Multiblock (formed),getFuelFilledPercentage,,Number (double),,false,
Fission Reactor Multiblock (formed),getFuelNeeded,,Number (long),,false,
Fission Reactor Multiblock (formed),getFuelSurfaceArea,,Number (int),,false,
Fission Reactor Multiblock (formed),getHeatCapacity,,Number (double),,false,
Fission Reactor Multiblock (formed),getHeatedCoolant,,Table (ChemicalStack),,false,
Fission Reactor Multiblock (formed),getHeatedCoolantCapacity,,Number (long),,false,
Fission Reactor Multiblock (formed),getHeatedCoolantFilledPercentage,,Number (double),,false,
Fission Reactor Multiblock (formed),getHeatedCoolantNeeded,,Number (long),,false,
Fission Reactor Multiblock (formed),getHeatingRate,,Number (long),,false,
Fission Reactor Multiblock (formed),getMaxBurnRate,,Number (long),,false,
Fission Reactor Multiblock (formed),getStatus,,boolean,,false,"true -> active, false -> off"
Fission Reactor Multiblock (formed),getTemperature,,Number (double),,false,
Fission Reactor Multiblock (formed),getWaste,,Table (ChemicalStack),,false,
Fission Reactor Multiblock (formed),getWasteCapacity,,Number (long),,false,
Fission Reactor Multiblock (formed),getWasteFilledPercentage,,Number (double),,false,
Fission Reactor Multiblock (formed),getWasteNeeded,,Number (long),,false,
Fission Reactor Multiblock (formed),isForceDisabled,,boolean,,false,
Fission Reactor Multiblock (formed),scram,,,,false,Must be enabled
Fission Reactor Multiblock (formed),setBurnRate,rate: Number (double),,,false,
Fission Reactor Port,decrementMode,,,,false,
Fission Reactor Port,getMode,,String (FissionPortMode),,false,
Fission Reactor Port,incrementMode,,,,false,
Fission Reactor Port,setMode,mode: String (FissionPortMode),,,false,
Fluid Tank,decrementContainerEditMode,,,,true,
Fluid Tank,getCapacity,,Number (int),,false,
Fluid Tank,getContainerEditMode,,String (ContainerEditMode),,false,
Fluid Tank,getFilledPercentage,,Number (double),,false,
Fluid Tank,getInputItem,,Table (ItemStack),,false,
Fluid Tank,getNeeded,,Number (int),,false,
Fluid Tank,getOutputItem,,Table (ItemStack),,false,
Fluid Tank,getStored,,Table (FluidStack),,false,
Fluid Tank,incrementContainerEditMode,,,,true,
Fluid Tank,setContainerEditMode,mode: String (ContainerEditMode),,,true,
Fluidic Plenisher,getEnergyItem,,Table (ItemStack),,false,
Fluidic Plenisher,getFluid,,Table (FluidStack),,false,
Fluidic Plenisher,getFluidCapacity,,Number (int),,false,
Fluidic Plenisher,getFluidFilledPercentage,,Number (double),,false,
Fluidic Plenisher,getFluidNeeded,,Number (int),,false,
Fluidic Plenisher,getInputItem,,Table (ItemStack),,false,
Fluidic Plenisher,getOutputItem,,Table (ItemStack),,false,
Fluidic Plenisher,reset,,,,true,
Formulaic Assemblicator,craftAvailableItems,,,,true,Requires recipe and auto mode to be disabled
Formulaic Assemblicator,craftSingleItem,,,,true,Requires recipe and auto mode to be disabled
Formulaic Assemblicator,emptyGrid,,,,true,Requires auto mode to be disabled
Formulaic Assemblicator,encodeFormula,,,,true,Requires an unencoded formula in the formula slot and a valid recipe
Formulaic Assemblicator,fillGrid,,,,true,Requires auto mode to be disabled
Formulaic Assemblicator,getAutoMode,,boolean,,true,Requires valid encoded formula
Formulaic Assemblicator,getCraftingInputSlot,slot: Number (int),Table (ItemStack),,false,
Formulaic Assemblicator,getCraftingOutputSlot,slot: Number (int),Table (ItemStack),,false,
Formulaic Assemblicator,getCraftingOutputSlots,,Number (int),,false,
Formulaic Assemblicator,getEnergyItem,,Table (ItemStack),,false,
Formulaic Assemblicator,getExcessRemainingItems,,NonNullList,,false,
Formulaic Assemblicator,getFormulaItem,,Table (ItemStack),,false,
Formulaic Assemblicator,getItemInSlot,slot: Number (int),Table (ItemStack),,false,
Formulaic Assemblicator,getRecipeProgress,,Number (int),,false,
Formulaic Assemblicator,getSlots,,Number (int),,false,
Formulaic Assemblicator,getStockControl,,boolean,,true,Requires valid encoded formula
Formulaic Assemblicator,getTicksRequired,,Number (int),,false,
Formulaic Assemblicator,hasRecipe,,boolean,,false,
Formulaic Assemblicator,hasValidFormula,,boolean,,false,
Formulaic Assemblicator,setAutoMode,mode: boolean,,,true,Requires valid encoded formula
Formulaic Assemblicator,setStockControl,mode: boolean,,,true,Requires valid encoded formula
Fuelwood Heater,getEnvironmentalLoss,,Number (double),,false,
Fuelwood Heater,getFuelItem,,Table (ItemStack),,false,
Fuelwood Heater,getTemperature,,Number (double),,false,
Fuelwood Heater,getTransferLoss,,Number (double),,false,
Fusion Reactor Logic Adapter,getLogicMode,,String (FusionReactorLogic),,false,
Fusion Reactor Logic Adapter,isActiveCooledLogic,,boolean,,false,
Fusion Reactor Logic Adapter,setActiveCooledLogic,active: boolean,,,false,
Fusion Reactor Logic Adapter,setLogicMode,logicType: String (FusionReactorLogic),,,false,
Fusion Reactor Multiblock (formed),getCaseTemperature,,Number (double),,false,
Fusion Reactor Multiblock (formed),getDTFuel,,Table (ChemicalStack),,false,
Fusion Reactor Multiblock (formed),getDTFuelCapacity,,Number (long),,false,
Fusion Reactor Multiblock (formed),getDTFuelFilledPercentage,,Number (double),,false,
Fusion Reactor Multiblock (formed),getDTFuelNeeded,,Number (long),,false,
Fusion Reactor Multiblock (formed),getDeuterium,,Table (ChemicalStack),,false,
Fusion Reactor Multiblock (formed),getDeuteriumCapacity,,Number (long),,false,
Fusion Reactor Multiblock (formed),getDeuteriumFilledPercentage,,Number (double),,false,
Fusion Reactor Multiblock (formed),getDeuteriumNeeded,,Number (long),,false,
Fusion Reactor Multiblock (formed),getEnvironmentalLoss,,Number (double),,false,
Fusion Reactor Multiblock (formed),getHohlraum,,Table (ItemStack),,false,
Fusion Reactor Multiblock (formed),getIgnitionTemperature,active: boolean,Number (double),,false,"true -> water cooled, false -> air cooled"
Fusion Reactor Multiblock (formed),getInjectionRate,,Number (int),,false,
Fusion Reactor Multiblock (formed),getMaxCasingTemperature,active: boolean,Number (double),,false,"true -> water cooled, false -> air cooled"
Fusion Reactor Multiblock (formed),getMaxPlasmaTemperature,active: boolean,Number (double),,false,"true -> water cooled, false -> air cooled"
Fusion Reactor Multiblock (formed),getMinInjectionRate,active: boolean,Number (int),,false,"true -> water cooled, false -> air cooled"
Fusion Reactor Multiblock (formed),getPassiveGeneration,active: boolean,Number (FloatingLong),,false,
Fusion Reactor Multiblock (formed),getPlasmaTemperature,,Number (double),,false,
Fusion Reactor Multiblock (formed),getProductionRate,,Number (FloatingLong),,false,
Fusion Reactor Multiblock (formed),getSteam,,Table (ChemicalStack),,false,
Fusion Reactor Multiblock (formed),getSteamCapacity,,Number (long),,false,
Fusion Reactor Multiblock (formed),getSteamFilledPercentage,,Number (double),,false,
Fusion Reactor Multiblock (formed),getSteamNeeded,,Number (long),,false,
Fusion Reactor Multiblock (formed),getTransferLoss,,Number (double),,false,
Fusion Reactor Multiblock (formed),getTritium,,Table (ChemicalStack),,false,
Fusion Reactor Multiblock (formed),getTritiumCapacity,,Number (long),,false,
Fusion Reactor Multiblock (formed),getTritiumFilledPercentage,,Number (double),,false,
Fusion Reactor Multiblock (formed),getTritiumNeeded,,Number (long),,false,
Fusion Reactor Multiblock (formed),getWater,,Table (FluidStack),,false,
Fusion Reactor Multiblock (formed),getWaterCapacity,,Number (int),,false,
Fusion Reactor Multiblock (formed),getWaterFilledPercentage,,Number (double),,false,
